Date;Open;High;Low;Close;Adj Close;Volume
16/01/2020;9,226;9,356;9,202;9,312;8,98925;16.817.092,00 €
17/01/2020;9,32;9,422;9,314;9,404;9,078061;31.154.112,00 €
20/01/2020;9,38;9,45;9,378;9,45;9,122466;13.980.299,00 €
21/01/2020;9,384;9,43;9,36;9,426;9,099298;39.974.859,00 €
22/01/2020;9,416;9,478;9,398;9,456;9,128258;17.131.154,00 €
23/01/2020;9,446;9,686;9,44;9,668;9,332911;20.750.831,00 €
24/01/2020;9,692;9,896;9,692;9,886;9,543354;16.931.356,00 €
27/01/2020;9,8;9,93;9,794;9,804;9,464197;15.706.538,00 €
28/01/2020;9,84;9,886;9,792;9,848;9,506671;13.305.235,00 €
29/01/2020;9,858;9,898;9,81;9,87;9,527909;13.241.846,00 €
30/01/2020;9,828;10,01;9,824;9,9;9,556869;21.323.053,00 €
31/01/2020;9,91;9,948;9,796;9,87;9,527909;12.526.167,00 €
03/02/2020;9,898;9,962;9,866;9,902;9,5588;12.789.816,00 €
04/02/2020;9,916;9,966;9,89;9,946;9,601275;10.609.904,00 €
05/02/2020;9,95;10,205;9,9;10,2;9,846471;36.973.276,00 €
06/02/2020;10,2;10,38;10,16;10,38;10,020232;16.717.956,00 €
07/02/2020;10,325;10,5;10,275;10,275;9,918872;46.243.080,00 €
10/02/2020;10,26;10,38;10,22;10,38;10,020232;12.444.925,00 €
11/02/2020;10,395;10,51;10,34;10,505;10,140901;18.895.745,00 €
12/02/2020;10,54;10,615;10,42;10,43;10,0685;13.892.270,00 €
13/02/2020;10,43;10,595;10,365;10,59;10,222954;66.708.825,00 €
14/02/2020;10,57;10,865;10,56;10,855;10,478769;19.711.372,00 €
17/02/2020;10,86;11,065;10,83;11,06;10,676664;10.017.624,00 €
18/02/2020;10,985;11,14;10,965;11,115;10,729757;12.811.492,00 €
19/02/2020;11,07;11,345;11,025;11,22;10,831119;19.806.956,00 €
20/02/2020;11,195;11,295;11,035;11,035;10,65253;17.520.401,00 €
21/02/2020;10,99;11,235;10,98;11,18;10,792505;19.632.655,00 €
24/02/2020;10,935;11,14;10,88;10,93;10,55117;19.311.493,00 €
25/02/2020;10,87;11,02;10,66;10,66;10,290528;23.811.728,00 €
26/02/2020;10,66;11,215;10,55;11,205;10,816638;29.475.409,00 €
27/02/2020;11,07;11,285;10,73;10,77;10,396715;37.751.299,00 €
28/02/2020;10,39;10,505;10,14;10,32;9,962312;48.178.445,00 €
02/03/2020;10,51;10,73;10,245;10,725;10,353275;29.551.372,00 €
03/03/2020;10,785;10,995;10,74;10,805;10,430502;30.726.597,00 €
04/03/2020;10,79;11,2;10,715;11,195;10,806984;25.436.588,00 €
05/03/2020;11,2;11,255;10,925;11,06;10,676664;27.931.370,00 €
06/03/2020;10,9;10,93;10,47;10,595;10,22778;30.875.506,00 €
09/03/2020;9,89;10,395;9,764;9,892;9,549147;41.253.941,00 €
10/03/2020;9,96;10,145;9,336;9,336;9,012418;40.653.526,00 €
11/03/2020;9,746;9,794;9,316;9,486;9,157219;49.913.938,00 €
12/03/2020;9,008;9,162;8,008;8,152;7,869455;65.237.950,00 €
13/03/2020;8,282;9,272;8,226;8,56;8,263313;42.825.865,00 €
16/03/2020;8,136;8,38;7,76;8,232;7,946681;51.624.713,00 €
17/03/2020;8,588;9,2;8,52;9,062;8,747914;36.336.357,00 €
18/03/2020;8,882;8,98;8,456;8,714;8,411975;33.921.715,00 €
